"","start_date","average_audience"
"544",2014-03-28,44715.126
"545",2014-03-29,31130.926
"546",2014-03-30,36155.94
"547",2014-03-31,62909.097
"548",2014-04-01,51796.234
"549",2014-04-02,50358.248
"550",2014-04-03,48232.827
"551",2014-04-04,42557.642
"552",2014-04-05,28283.157
"553",2014-04-06,38626.209
"554",2014-04-07,58007.681
"555",2014-04-08,51175.564
"556",2014-04-09,48128.715
"557",2014-04-10,41365.864
"558",2014-04-11,37129.296
"559",2014-04-12,27688.581
"560",2014-04-13,33595.681
"561",2014-04-14,55664.303
"562",2014-04-15,53036.888
"563",2014-04-16,43238.479
"564",2014-04-17,41776.107
"565",2014-04-18,38720.629
"566",2014-04-19,31793.267
"567",2014-04-20,38628.553
"568",2014-04-21,3603.744
"569",2014-04-22,0
"570",2014-04-23,0
"571",2014-04-24,0
"572",2014-04-25,0
"573",2014-04-26,0
"574",2014-04-27,0
"575",2014-04-28,54493.023
"576",2014-04-29,54641.464
"577",2014-04-30,49302.524
"578",2014-05-01,48589.727
"579",2014-05-02,43446.698
"580",2014-05-03,47565.125
"581",2014-05-04,34492.355
"582",2014-05-05,55135.826
"583",2014-05-06,51010.923
"584",2014-05-07,47404.632
"585",2014-05-08,42564.999
"586",2014-05-09,40946.123
"587",2014-05-10,27488.694
"588",2014-05-11,32534.309
"589",2014-05-12,57529.499
"590",2014-05-13,51194.9
"591",2014-05-14,49832.478
"592",2014-05-15,44292.758
"593",2014-05-16,41944.807
"594",2014-05-17,38081.639
"595",2014-05-18,32553.533
"596",2014-05-19,55981.069
"597",2014-05-20,57384.29
"598",2014-05-21,46188.55
"599",2014-05-22,47555.186
"600",2014-05-23,43044.512
"601",2014-05-24,26490.547
"602",2014-05-25,20740.359
"603",2014-05-26,33495.721
"604",2014-05-27,53240.297
"605",2014-05-28,45647.69
"606",2014-05-29,45172.355
"607",2014-05-30,40454.134
"608",2014-05-31,22573.656
"609",2014-06-01,26863.736
"610",2014-06-02,44372.695
"611",2014-06-03,52631.274
"612",2014-06-04,49440.69
"613",2014-06-05,39475.908
"614",2014-06-06,35183.121
"615",2014-06-07,54367.918
"616",2014-06-08,40721.351
"617",2014-06-09,44740.321
"618",2014-06-10,47544.266
"619",2014-06-11,43335.6
"620",2014-06-12,37241.867
"621",2014-06-13,48508.096
"622",2014-06-14,33043.384
"623",2014-06-15,37980.787
"624",2014-06-16,38567.611
"625",2014-06-17,47749.151
"626",2014-06-18,41344.212
"627",2014-06-19,38605.834
"628",2014-06-20,37310.407
"629",2014-06-21,22489.444
"630",2014-06-22,31558.087
"631",2014-06-23,42059.086
"632",2014-06-24,44132.121
"633",2014-06-25,38724.127
"634",2014-06-26,35565.469
"635",2014-06-27,30799.607
"636",2014-06-28,23296.648
"637",2014-06-29,28900.885
"638",2014-06-30,36815.24
"639",2014-07-01,45814.531
"640",2014-07-02,39921.485
"641",2014-07-03,34386.262
"642",2014-07-04,33161.297
"643",2014-07-05,23339.087
"644",2014-07-06,21211.912
"645",2014-07-07,41013.486
"646",2014-07-08,42745.49
"647",2014-07-09,39394.18
"648",2014-07-10,36410.722
"649",2014-07-11,34276
"650",2014-07-12,19399.415
"651",2014-07-13,21546.512
"652",2014-07-14,42173.546
"653",2014-07-15,43142.697
"654",2014-07-16,37937.823
"655",2014-07-17,37888.466
"656",2014-07-18,35180.981
"657",2014-07-19,22329.921
"658",2014-07-20,24654.988
"659",2014-07-21,41411.881
"660",2014-07-22,43957.434
"661",2014-07-23,45681.455
"662",2014-07-24,35890.134
"663",2014-07-25,34555.993
"664",2014-07-26,22375.036
"665",2014-07-27,24785.911
"666",2014-07-28,45088.662
"667",2014-07-29,49325.238
"668",2014-07-30,41509.728
"669",2014-07-31,34908.121
"670",2014-08-01,35429.121
"671",2014-08-02,20206.976
"672",2014-08-03,38638.662
"673",2014-08-04,42459.168
"674",2014-08-05,42346.891
"675",2014-08-06,38589.122
"676",2014-08-07,37466.67
"677",2014-08-08,34968.429
"678",2014-08-09,24786.978
"679",2014-08-10,24718.232
"680",2014-08-11,41481.845
"681",2014-08-12,46014.853
"682",2014-08-13,41458.019
"683",2014-08-14,38693.366
"684",2014-08-15,37806.802
"685",2014-08-16,28580.69
"686",2014-08-17,25689.092
"687",2014-08-18,41409.792
"688",2014-08-19,42433.574
"689",2014-08-20,39092.507
"690",2014-08-21,34523.632
"691",2014-08-22,34875.48
"692",2014-08-23,26605.698
"693",2014-08-24,37450.922
"694",2014-08-25,63119.354
"695",2014-08-26,43768.509
"696",2014-08-27,38418.343
"697",2014-08-28,38095.924
"698",2014-08-29,33883.43
"699",2014-08-30,26440.381
"700",2014-08-31,22880.06
"701",2014-09-01,36133.535
"702",2014-09-02,40901.557
"703",2014-09-03,39309.069
"704",2014-09-04,119138.033
"705",2014-09-05,47279.029
"706",2014-09-06,33369.541
"707",2014-09-07,96064.105
"708",2014-09-08,54751.21
"709",2014-09-09,46671.115
"710",2014-09-10,43997.684
"711",2014-09-11,43882.497
"712",2014-09-12,41626.093
"713",2014-09-13,29782.462
"714",2014-09-14,93986.921
"715",2014-09-15,56057.506
"716",2014-09-16,51633.948
"717",2014-09-17,50989.656
"718",2014-09-18,42482.36
"719",2014-09-19,38642.976
"720",2014-09-20,26124.503
"721",2014-09-21,83549.328
"722",2014-09-22,70032.573
"723",2014-09-23,60702.145
"724",2014-09-24,48058.326
"725",2014-09-25,41880.226
"726",2014-09-26,37526.697
"727",2014-09-27,25516.564
"728",2014-09-28,93325.622
"729",2014-09-29,65699.219
"730",2014-09-30,59288.802
"731",2014-10-01,44767.811
"732",2014-10-02,43205.211
"733",2014-10-03,37343.264
"734",2014-10-04,32877.265
"735",2014-10-05,85770.882
"736",2014-10-06,65606.606
"737",2014-10-07,53876.741
"738",2014-10-08,42847.377
"739",2014-10-09,41912.628
"740",2014-10-10,36917.081
"741",2014-10-11,29917.578
"742",2014-10-12,76166.91
"743",2014-10-13,68620.571
"744",2014-10-14,54556.074
"745",2014-10-15,47934.546
"746",2014-10-16,42010.096
"747",2014-10-17,39899.183
"748",2014-10-18,22968.808
"749",2014-10-19,84346.835
"750",2014-10-20,60538.631
"751",2014-10-21,50984.565
"752",2014-10-22,44847.942
"753",2014-10-23,40339.273
"754",2014-10-24,39937.629
"755",2014-10-25,22405.531
"756",2014-10-26,80839.702
"757",2014-10-27,65868.896
"758",2014-10-28,48124.829
"759",2014-10-29,39206.713
"760",2014-10-30,40334.876
"761",2014-10-31,42293.603
"762",2014-11-01,29375.975
"763",2014-11-02,81847.66
"764",2014-11-03,65098.963
"765",2014-11-04,46553.725
"766",2014-11-05,45929.116
"767",2014-11-06,44452.055
"768",2014-11-07,39350.83
"769",2014-11-08,26472.633
"770",2014-11-09,77547.527
"771",2014-11-10,61028.612
"772",2014-11-11,56781.587
"773",2014-11-12,52114.61
"774",2014-11-13,41960.368
"775",2014-11-14,41275.453
"776",2014-11-15,30945.944
"777",2014-11-16,79384.116
"778",2014-11-17,64355.917
"779",2014-11-18,56048.893
"780",2014-11-19,49088.976
"781",2014-11-20,47708.248
"782",2014-11-21,42725.517
"783",2014-11-22,33376.651
"784",2014-11-23,94334.391
"785",2014-11-24,62356.269
"786",2014-11-25,50882.867
"787",2014-11-26,43157.684
"788",2014-11-27,153343.341
"789",2014-11-28,46611.604
"790",2014-11-29,23720.392
"791",2014-11-30,79833.27
"792",2014-12-01,59185.045
"793",2014-12-02,50916.648
"794",2014-12-03,49508.669
"795",2014-12-04,53308.123
"796",2014-12-05,38135.084
"797",2014-12-06,25811.231
"798",2014-12-07,78774.052
"799",2014-12-08,55737.575
"800",2014-12-09,46764.273
"801",2014-12-10,43709.706
"802",2014-12-11,43433.746
"803",2014-12-12,43251.164
"804",2014-12-13,22473.715
"805",2014-12-14,94848.821
"806",2014-12-15,59658.318
"807",2014-12-16,56896.399
"808",2014-12-17,47554.779
"809",2014-12-18,40846.381
"810",2014-12-19,40623.455
"811",2014-12-20,23025.24
"812",2014-12-21,68757.613
"813",2014-12-22,48137.302
"814",2014-12-23,39576.749
"815",2014-12-24,40804.759
"816",2014-12-25,24076.205
"817",2014-12-26,32339.756
"818",2014-12-27,22085.921
"819",2014-12-28,73024.389
"820",2014-12-29,38510.957
"821",2014-12-30,34883.099
"822",2014-12-31,41221.336
"823",2015-01-01,48568.863
"824",2015-01-02,33602.774
"825",2015-01-03,93414.23
"826",2015-01-04,44589.056
"827",2015-01-05,47141.113
"828",2015-01-06,44905.784
"829",2015-01-07,49175.084
"830",2015-01-08,45704.742
"831",2015-01-09,38013.463
"832",2015-01-10,121786.04
"833",2015-01-11,63707.132
